Title,Author,Genre,Price,Quantity
Book_1,Author_30,Business,326,72
Book_2,Author_111,Fiction,605,57
Book_3,Author_345,Fiction,266,60
Book_4,Author_129,Fiction,166,95
Book_5,Author_442,History,786,20
Book_6,Author_475,Self-Help,372,53
Book_7,Author_179,History,457,83
Book_8,Author_342,Fiction,295,74
Book_9,Author_496,History,920,60
Book_10,Author_274,Fantasy,849,78
Book_11,Author_332,History,613,1
Book_12,Author_312,History,254,85
Book_13,Author_48,Business,845,66
Book_14,Author_418,History,203,17
Book_15,Author_78,Fantasy,480,94
Book_16,Author_9,Business,637,63
Book_17,Author_17,Fantasy,645,64
Book_18,Author_69,Fiction,859,10
Book_19,Author_93,Fantasy,942,76
Book_20,Author_327,Business,291,72
Book_21,Author_485,Fiction,457,91
Book_22,Author_191,History,750,92
Book_23,Author_31,Fiction,794,46
Book_24,Author_422,History,847,39
Book_25,Author_225,Fiction,117,53
Book_26,Author_139,History,952,5
Book_27,Author_310,Science,912,43
Book_28,Author_13,Fantasy,179,13
Book_29,Author_353,History,359,59
Book_30,Author_263,Science,798,92
Book_31,Author_197,Self-Help,743,99
Book_32,Author_438,Business,136,3
Book_33,Author_290,History,144,47
Book_34,Author_449,Self-Help,498,4
Book_35,Author_123,Fiction,498,42
Book_36,Author_421,Self-Help,735,23
Book_37,Author_102,Science,488,55
Book_38,Author_27,Science,366,80
Book_39,Author_493,Self-Help,735,5
Book_40,Author_245,Fantasy,692,21
Book_41,Author_332,Fantasy,533,71
Book_42,Author_102,Business,310,24
Book_43,Author_29,Self-Help,785,40
Book_44,Author_25,History,998,26
Book_45,Author_51,Fantasy,787,84
Book_46,Author_111,Fantasy,764,78
Book_47,Author_71,Science,678,76
Book_48,Author_491,Self-Help,167,77
Book_49,Author_60,Fantasy,977,2
Book_50,Author_206,Science,637,65
Book_51,Author_149,Science,587,22
Book_52,Author_187,Fiction,344,31
Book_53,Author_365,History,910,44
Book_54,Author_227,History,375,1
Book_55,Author_295,History,724,18
Book_56,Author_359,Business,880,78
Book_57,Author_182,Self-Help,284,63
Book_58,Author_408,Fantasy,544,8
Book_59,Author_407,History,444,18
