Date,Title,Quantity Sold,Total Revenue
2025-01-31,Book_7308,5,1395
2025-07-16,Book_3727,4,2116
2025-05-16,Book_8438,1,855
2025-10-27,Book_6082,5,2890
2025-10-18,Book_433,2,314
2025-01-25,Book_1831,2,332
2025-09-20,Book_8575,1,228
2025-07-18,Book_4624,5,4740
2025-07-10,Book_2156,4,3304
2025-06-09,Book_4529,3,1002
2025-03-16,Book_6679,1,849
2025-08-08,Book_8602,5,525
2025-12-30,Book_3110,3,2850
2025-10-26,Book_5712,1,305
2025-05-08,Book_5680,2,1092
2025-02-11,Book_4765,4,3444
2025-09-26,Book_7863,1,705
2025-09-18,Book_5367,5,1130
2025-06-08,Book_6302,3,1851
2025-11-19,Book_6955,1,941
2025-01-13,Book_3527,1,253
2025-06-14,Book_276,2,688
2025-11-07,Book_6043,4,2328
2025-07-30,Book_5016,1,698
2025-09-01,Book_479,5,2685
2025-01-01,Book_2818,2,1924
2025-01-16,Book_7775,1,690
2025-03-26,Book_7299,1,845
2025-12-27,Book_5871,3,2208
2025-05-01,Book_1544,3,1485
2025-08-14,Book_8909,1,564
2025-02-11,Book_1357,5,2045
2025-10-22,Book_7910,5,1150
2025-10-06,Book_9404,1,856
2025-01-02,Book_6330,3,345
2025-12-11,Book_8330,3,1869
2025-01-16,Book_8063,3,333
2025-04-01,Book_5232,4,3308
2025-12-26,Book_557,1,132
2025-12-31,Book_9982,5,555
2025-10-03,Book_5448,3,2298
2025-10-24,Book_1570,3,1782
2025-10-17,Book_824,1,501
2025-09-22,Book_246,3,1020
2025-05-02,Book_547,5,4310
2025-10-13,Book_3154,1,885
2025-10-22,Book_2628,5,1225
2025-09-12,Book_4302,3,1611
2025-12-14,Book_3586,4,3884
2025-11-19,Book_9596,4,876
2025-12-10,Book_8576,4,952
2025-10-01,Book_1549,5,3515
2025-09-30,Book_8274,3,2598
2025-06-15,Book_4085,2,1386
2025-07-28,Book_4085,2,1386
2025-10-15,Book_309,1,127
2025-08-08,Book_7893,4,1732
2025-08-21,Book_6218,1,297
2025-11-26,Book_813,4,1060
2025-07-11,Book_9310,4,1892
2025-09-11,Book_2546,4,1904
2025-02-01,Book_8164,2,976
2025-11-26,Book_2131,3,2454
2025-07-14,Book_6307,2,632
2025-09-29,Book_1395,2,1048
2025-03-04,Book_1514,5,2115
2025-02-23,Book_666,1,642
2025-02-18,Book_5961,3,1104
2025-05-27,Book_327,5,755
2025-09-10,Book_5734,1,389
2025-08-11,Book_6996,5,1185
2025-09-06,Book_9137,5,4100
2025-02-24,Book_529,5,4235
2025-04-07,Book_214,4,572
2025-05-19,Book_3509,3,2412
2025-05-18,Book_7012,3,1977
2025-05-20,Book_9358,2,212
2025-08-12,Book_9901,5,1175
2025-01-19,Book_4038,1,711
2025-01-26,Book_4850,1,545
2025-09-28,Book_3324,5,2405
2025-03-06,Book_6380,2,1268
2025-07-08,Book_274,5,4885
2025-03-27,Book_6716,3,2709
